Accession,Description,Gene Symbol,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,"Abundance: F2: 130N, Sample, A, (-)BiotinPD","Abundance: F2: 129C, Sample, A, (-)Hpg","Abundance: F2: 126, Sample, A, 0_0Hr","Abundance: F2: 127N, Sample, A, 0_5Hr","Abundance: F2: 127C, Sample, A, 1_0Hr","Abundance: F2: 128N, Sample, A, 1_5Hr","Abundance: F2: 128C, Sample, A, 2_0Hr","Abundance: F2: 129N, Sample, A, 3_0Hr","Abundance: F2: 134N, Sample, B, (-)BiotinPD","Abundance: F2: 133C, Sample, B, (-)Hpg","Abundance: F2: 130C, Sample, B, 0_0Hr","Abundance: F2: 131N, Sample, B, 0_5Hr","Abundance: F2: 131C, Sample, B, 1_0Hr","Abundance: F2: 132N, Sample, B, 1_5Hr","Abundance: F2: 132C, Sample, B, 2_0Hr","Abundance: F2: 133N, Sample, B, 3_0Hr","Abundance: F1: 126, Sample, C, (-)BiotinPD","Abundance: F1: 130N, Sample, C, (-)Hpg","Abundance: F1: 129C, Sample, C, 0_0Hr","Abundance: F1: 129N, Sample, C, 0_5Hr","Abundance: F1: 128C, Sample, C, 1_0Hr","Abundance: F1: 128N, Sample, C, 1_5Hr","Abundance: F1: 127C, Sample, C, 2_0Hr","Abundance: F1: 127N, Sample, C, 3_0Hr","Abundance: F1: 130C, Sample, D, (-)BiotinPD","Abundance: F1: 134N, Sample, D, (-)Hpg","Abundance: F1: 133C, Sample, D, 0_0Hr","Abundance: F1: 133N, Sample, D, 0_5Hr","Abundance: F1: 132C, Sample, D, 1_0Hr","Abundance: F1: 132N, Sample, D, 1_5Hr","Abundance: F1: 131C, Sample, D, 2_0Hr","Abundance: F1: 131N, Sample, D, 3_0Hr","Abundance: F8: 126, Sample, E, (-)BiotinPD","Abundance: F8: 133C, Sample, E, (-)Hpg","Abundance: F8: 127C, Sample, E, 0_0Hr","Abundance: F8: 128C, Sample, E, 0_5Hr","Abundance: F8: 129C, Sample, E, 1_0Hr","Abundance: F8: 130C, Sample, E, 1_5Hr","Abundance: F8: 131C, Sample, E, 2_0Hr","Abundance: F8: 132C, Sample, E, 3_0Hr","Abundance: F8: 127N, Sample, F, (-)BiotinPD","Abundance: F8: 134N, Sample, F, (-)Hpg","Abundance: F8: 128N, Sample, F, 0_0Hr","Abundance: F8: 129N, Sample, F, 0_5Hr","Abundance: F8: 130N, Sample, F, 1_0Hr","Abundance: F8: 131N, Sample, F, 1_5Hr","Abundance: F8: 132N, Sample, F, 2_0Hr","Abundance: F8: 133N, Sample, F, 3_0Hr",Quantified,Run 1 - Quantified,Run 2 - Quantified,Run 3 - Quantified,Run 1 - Fully Quantified,Run 2 - Fully Quantified,Run 3 - Fully Quantified,Total - Fully Quantified,Run 1 - % Hpg Pulse Channels Quantified,Run 2 - % Hpg Pulse Channels Quantified,Run 3 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Hpg Pulse channels Quantified,Biological Replicate 2 - % Hpg Pulse Channels Quantified,Biological Replicate 3 - % Hpg Pulse Channels Quantified,Biological Replicate 4 - % Hpg Pulse Channels Quantified,Biological Replicate 5 - % Hpg Pulse channels Quantified,Biological Replicate 6 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Channels Quantified,Biological Replicate 2 - % Channels Quantified,Biological Replicate 3 - % Channels Quantified,Biological Replicate 4 - % Channels Quantified,Biological Replicate 5 - % Channels Quantified,Biological Replicate 6 - % Channels Quantified
Q7TPB1,T-complex protein 1 subunit delta OS,CCT4,33.678,19,8,13,8,33.8,8.8,4.8,3.1,3.7,2,1.9,1.2,104.7,1.9,4.3,1.5,4.2,3.8,4.5,2.4,603.6,23.2,17.4,24.7,22.3,19.1,7,41.4,469.2,18.4,18.7,25.5,22.6,26.1,13.1,16,1072.3,554.6,481.7,347.6,209.8,332.2,245.2,181.9,2583.5,155.5,244.2,202.8,318.3,203,236.3,193,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P07150,Annexin A1 OS,ANXA1,33.448,23,7,20,7,628.5,43.7,98.9,45.6,50.3,25.4,20.8,23.6,1598.2,11,53.7,12.4,35.1,38.4,32.7,6.9,92.7,24.2,16.8,23.4,12.6,,19.3,617.9,76.2,14.2,10.7,29.3,17.9,23.8,22.3,25.9,955.4,433.5,353.7,96.9,90.9,114.1,234.7,65.7,1195.8,50.9,50.7,50.5,132.6,54.8,61.4,62.8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%
Q6P6T6,Cathepsin D OS,CTSD,32.584,22,6,13,6,95.3,4.2,,9.8,2.7,3.3,,4.8,258.4,2.3,3.2,2.2,2,2.8,5.6,1,,,,,,,,,,,,,,,,,577,816.5,160.6,176.5,84.7,132.8,82.5,81.5,1238.9,57.3,132.6,76.4,132,67.5,87.4,63.9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,86%,,100%,71%,100%,,,100%,100%,75%,100%,,,100%,100%
D3ZY51,Plakophilin 1 (Predicted) OS,PKP1,32.321,20,9,15,9,70.1,98.8,68.4,71.9,37.6,65.7,18.6,62.1,175.4,49.6,69.6,27.3,24.8,35.9,53.6,35.6,,,,,,,,,,,,,,,,,445.6,842,1618.7,297.8,150.5,618.7,340.2,118.4,1386.1,175.9,198.6,147.6,343.6,105.8,152.7,189.3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
F1LPI5,"Laminin, beta 3, isoform CRA_a OS",LAMB3,31.862,13,9,11,9,190,25,18.1,29.3,25.5,16.9,8.1,20.5,463.6,7.9,26,8.3,31.9,17.9,18.5,3.2,,,,,,,,,,,,,,,,,426.7,77.7,138.2,101.8,39.2,75.5,37.1,38.9,826.6,24.7,20,34,65.9,20.5,43.5,29.4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
B5DFL7,Protein Sema3c OS,SEMA3C,31.525,13,8,15,8,,,,,,,,,,,,,,,,,3500.7,30.7,36.2,60.9,68.9,56.6,8.4,62,2986.1,18.2,41.9,68.6,71.9,60.4,11.3,31.4,925.6,164.1,153,73.1,44.4,60.2,51.3,53.7,2944.5,38.5,4.2,31.4,79.4,45.6,38.1,28,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P10760,Adenosylhomocysteinase OS,AHCY,31.413,18,7,11,7,25.5,11.1,8.3,6.8,6.4,6.4,3.6,4.8,65.8,6,4.5,2.8,7.7,2.8,4.5,,308.6,18,6.1,9,18,9.6,,36.6,281.2,13.4,15.3,20.5,17.2,17.7,7.2,19.1,1112.5,851.9,510.2,202.4,120.2,255.1,133.2,85.7,2911.7,97.5,49.2,103.8,274.1,82.6,108.3,106.9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,93%,100%,100%,86%,86%,100%,100%,100%,100%,88%,88%,100%,100%,100%
Q6P7A9,Lysosomal alpha-glucosidase OS,GAA,31.403,8,5,11,5,,,,,,,,,,,,,,,,,1691.3,34.7,11.1,30.6,39.1,26,8.1,36.3,1364.4,26,22.7,34.2,30.3,27.3,7.3,17.2,484.1,53.7,40.3,48.8,22.6,31.4,18.7,17.2,1843.7,7.1,6.7,9.4,52,13.2,27.9,19.5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
Q5XIH7,Prohibitin-2 OS,PHB2,31.238,29,7,20,7,150.5,4.7,6.9,3.7,9.6,4.6,3.5,7.3,296.5,6.4,5.7,,,4.2,4.9,,,,,,,,,,,,,,,,,,1138.8,1230.9,213.7,122,70.9,135.3,88.7,38.3,2781.5,58.2,20.2,58.4,139.4,57.6,68.4,59.2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,79%,,100%,100%,57%,,,100%,100%,100%,63%,,,100%,100%
D4A817,Histone H2B OS,HIST1H2BH,31.137,44,6,19,6,,,,,,,,,,,,,,,,,1101.8,24.1,33.4,42.6,64.2,50.1,3.5,170.7,1104.4,22.7,31.2,63.4,54.6,39.3,4.6,31.6,1293.1,205.1,138.4,87.8,45.9,71.6,79.7,43.8,2297.7,36.3,37.6,38.7,105.5,42,49,34.4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P63245,Guanine nucleotide-binding protein subunit beta-2-like 1 OS,GNB2L1,30.923,36,9,19,9,,,,,,,,,,,,,,,,,1359.9,42.1,33,37.7,36.3,34,30.4,117.5,1058.8,32.6,28,50.8,54.7,47.5,29.8,32.6,1968.9,983.7,154.3,139.6,74.1,136.3,101.1,58,6440.6,96.1,29.2,55.9,164.8,59,61.6,54.6,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P62836,Ras-related protein Rap-1A OS,RAP1A,30.613,51,8,22,1,67.1,13.8,4.7,10,6.7,9.6,5.2,8.6,162,4.3,7.8,2.3,8.5,8.1,4.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,100%,,,100%,100%,,,,,100%,100%,,,,
Q68FQ0,T-complex protein 1 subunit epsilon OS,CCT5,30.532,19,9,16,9,168.6,27.1,11,12.8,16.5,6,6.5,11.2,519.5,6.9,10,0.9,8.6,7.5,11.7,,517.7,4.7,1.2,4.4,3.8,9.2,0.5,10.3,413.6,,3.5,8.8,12.5,8,1.1,5.3,1629.1,221.3,259,132.4,86.5,111.5,95.8,71.8,3920,87.1,76.6,62.8,137.2,79.1,105.4,69.8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,88%,100%,100%
Q07439,Heat shock 70 kDa protein 1A/1B OS,HSPA1A,30.236,14,7,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
P17220,Proteasome subunit alpha type-2 OS,PSMA2,30.187,40,7,16,7,247.9,29.8,15,27.6,13,9,9.8,15.5,683.9,15.9,11.1,3.4,11.3,13.6,17.4,,85.9,6,2.6,,3.3,2.6,1.2,9.7,72.2,3.9,2.6,4.6,2.7,2.5,6.1,2.6,232.9,216.5,106.8,50.9,32.3,57.8,36.6,31.6,711.3,36.1,41,34.7,67,35.5,40.1,28.4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,93%,100%,100%,86%,86%,100%,100%,100%,100%,88%,88%,100%,100%,100%
Q5RKJ9,"RAB10, member RAS oncogene family OS",RAB10,30.088,41,8,19,2,266.9,14.2,12.3,16.1,14.5,8.7,8,14,605.2,11.4,14.6,12.6,4.8,6.4,13.6,,1322.4,,47.6,53.5,81.9,84.7,,189.3,1021.4,2.2,32.9,65.4,61,54.4,25.1,42.6,1210.3,487.8,212.2,116.8,68.5,115.7,85.7,52.3,2826,49.6,15.4,50,117.1,69.1,83.4,49.7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,93%,100%,100%,86%,86%,100%,100%,100%,100%,88%,75%,100%,100%,100%
B1WC67,Protein Slc25a24 OS,SLC25A24,29.357,24,7,12,7,204.7,1.4,5.1,4.3,7.1,,3,2.4,421.5,0.3,,,3.5,1,5.4,,,,,,,,,,,,,,,,,,629.8,144.6,111.4,131.5,101.3,122.4,107.3,90.3,1079.6,59.9,78.5,81.4,115,82.5,93.4,80.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,71%,,100%,86%,57%,,,100%,100%,88%,63%,,,100%,100%
P54313,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS,GNB2,29.216,29,8,19,4,689.4,20.4,30.8,43.7,46.3,33.2,19.2,37.5,1449.6,12.6,33.4,10.5,26,21.7,30.5,6,762,22,47.4,61.6,71.4,84.6,18.3,89.8,653,15.8,34.1,64.6,69,55.5,56,42.5,1562.1,349.3,301.5,316.7,173.9,266.3,200.1,164,2950.6,102.9,73.1,160.6,222.4,143.3,167.3,147.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q4QQV0,Protein Tubb6 OS,TUBB6,29.2,15,5,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2,117.6,10.9,7.1,3.9,11.4,7,4.5,138.3,6.8,8.1,7,6.6,4.2,5.5,3.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
G3V8A5,Vacuolar protein sorting-associated protein 35 OS,VPS35,29.185,13,8,15,8,68.3,18.4,9.4,9.4,6.5,9.4,4.4,4.8,154.6,3.8,6.4,3.2,5.8,8.2,10.1,4.9,649,,2.7,8.3,8.8,17.3,,32.9,508.8,6.6,6.4,9.7,10.8,11.6,,7.3,297.7,116.7,71.2,56.7,30.4,46.9,38.7,35.1,657.1,20.7,24.8,34.7,64,23.5,39.1,30.8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,86%,100%,100%,100%,86%,86%,100%,100%,100%,100%,75%,88%,100%,100%
P62986,Ubiquitin-60S ribosomal protein L40 OS,UBA52,28.322,34,4,27,4,457.5,266.5,126.5,144.3,99.6,160.4,55.6,120.5,936.5,98.9,93,64,101.4,100.1,123.8,78.4,1413.1,165.2,153,161.2,217.7,197.7,151,678.2,1130.1,97.1,106,260.6,289.9,205,204.8,253.4,886.7,1824.7,1410.5,476.1,304.7,778.6,339.8,194.7,1967.5,327.6,542.8,179.8,843.1,225.3,269.6,259.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q6AY07,Fructose-bisphosphate aldolase OS,ALDOART2,28.285,16,7,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
Q6AXT5,Ras-related protein Rab-21 OS,RAB21,28.256,24,4,6,4,617.1,25.4,35.3,28.2,34.2,29.3,20.1,19.2,1436.1,13.5,21.6,7,29,17.6,24.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,100%,,,100%,100%,,,,,100%,100%,,,,
D3ZRN3,Protein Actbl2 OS,ACTBL2,28.06,12,3,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.9,197.5,32.4,11.7,12.3,18.1,13.2,13.9,485.7,17.4,14.4,10.6,20.1,13.8,13,16.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q9WVB1,Ras-related protein Rab-6A OS,RAB6A,28.048,36,6,15,5,122.9,6.1,4.1,5.7,7.8,4.7,1.9,3.1,278.9,,,2.3,2.6,3.7,8.2,,,,,,,,,,,,,,,,,,1364,365.9,37.3,92,41.8,63,47.7,30.1,3016.7,35,,30,78.1,56.2,31,34.5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,86%,,93%,100%,71%,,,100%,86%,100%,63%,,,100%,88%
P56574,"Isocitrate dehydrogenase [NADP], mitochondrial OS",IDH2,27.978,15,6,18,5,585,36.4,31.5,40.5,34.4,43.2,19,33.7,950.2,18.7,26.4,8.8,15.8,19.5,30.5,8.1,300.1,12.3,15.6,17.4,17.5,19.9,,36.8,238.1,4.9,9.3,25.2,20.9,15.3,5.6,17.8,299.4,168.6,208.4,41.4,55.9,91.1,51.9,38.7,568.4,45.8,49.5,27.5,103.2,35,34.2,43.1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%
Q68FR6,Elongation factor 1-gamma OS,EEF1G,27.674,16,7,15,7,123,20.3,6,7.6,7.7,7.7,6.5,4,317.7,3.1,5.5,1.8,6.8,4.7,8.5,,171.8,,0.7,,2.8,3.1,,6.7,138.2,,,4.3,2.7,3.6,,,3106.5,483,400.8,245.7,177.7,213.7,211.2,152.8,7041.8,148.2,16.3,145.7,257.8,139.1,173.2,161.8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,64%,100%,100%,86%,71%,57%,100%,100%,100%,88%,63%,50%,100%,100%
P61589,Transforming protein RhoA OS,RHOA,27.623,37,5,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.8,303.4,145.5,110.6,67.9,94.3,77.3,64.1,1831.9,52.1,52.8,59.7,101,67.2,59,48.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
M0R757,Elongation factor 1-alpha OS,LOC100360413,27.585,13,7,25,7,,,,,,,,,,,,,,,,,1208.1,40.8,23.1,28.1,40.6,26.6,,99.2,1004.9,30,29.9,33.2,44.6,35.1,7.2,40.3,2956.5,1749.4,576.2,291.3,147.2,291.4,197.6,104.6,7404,110.6,152.4,113.9,299.8,162.1,170.8,150.6,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,93%,100%,,,86%,100%,100%,100%,,,88%,100%,100%,100%
G3V679,Transferrin receptor protein 1 OS,TFRC,27.557,13,11,13,11,973.2,35.2,34.2,37.3,56.1,46.4,28.3,35.1,2359.3,22.1,44.6,1.5,41.8,42.3,62.8,7.7,,,,,,,,,,,,,,,,,1650.7,161.8,72.5,116.9,84.1,121.2,84.3,89,3198,40.8,11.6,82.6,100.3,75.6,112,75.3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
P21670,Proteasome subunit alpha type-4 OS,PSMA4,27.52,21,5,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.7,887.5,329.7,140.4,134.9,195,101.1,58,3419.7,102.8,10.6,62.5,212.6,64.6,86.7,85.4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q9Z1X1,Extended synaptotagmin-1 OS,ESYT1,27.42,13,9,11,9,191.1,33.7,27,35.7,22.7,30.3,19.2,32.6,409.7,23.9,32.1,12.8,27.7,26.8,23.9,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,100%,,,100%,100%,,,,,100%,100%,,,,
C0M4B0,Matrix metalloproteinase 19 OS,MMP19,27.409,12,4,9,4,,,,,,,,,,,,,,,,,632.6,18,10.6,12.7,16.7,10.1,14.8,17.9,508.3,9.8,7.5,14.3,18,20.6,11.2,17.7,386,142.9,140.9,113.4,74.9,103.7,91.5,71.8,909,52.2,84.1,63.7,105.2,59.5,75.2,61.9,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P04762,Catalase OS,CAT,27.258,16,6,9,6,369.9,5.3,9.7,15.2,18.2,12.2,9.4,11.3,709.6,4.3,10.8,,11.1,11.2,9.3,4,,,,,,,,,,,,,,,,,53.2,54.6,114.4,48.2,33.6,62,41.4,30.9,109.1,30.9,45.4,21,64.4,21.4,30.9,17.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,,100%,100%,86%,,,100%,100%,100%,88%,,,100%,100%
P25304,Agrin OS,AGRN,26.885,6,8,11,8,185,39.2,39.3,44.9,41.4,21.6,15.9,38.1,716.6,19.2,53.9,15.8,32.4,37.1,34.7,4,244.3,14.7,59.4,47.2,49.4,62.7,23,45.6,205.3,12.2,24.9,54.8,44.6,44.9,31.1,26.9,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,100%,100%,,100%,100%,100%,100%,,,100%,100%,100%,100%,,
Q63716,Peroxiredoxin-1 OS,PRDX1,26.859,31,7,19,5,638.7,236.1,124.2,151.1,93.4,126.3,44.9,128.5,1989.5,96,79.8,59.3,86.7,79.7,116,42.6,1499.2,337.6,138.5,204.7,353,95.9,143.3,1760.4,1190.6,127.2,152.4,313.7,270.2,211.7,170,514.6,730,2766.7,2010.6,469.4,326.5,914.7,326.7,158.1,1776.7,267.1,492.8,217.1,741.5,193,250.5,250.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P04906,Glutathione S-transferase P OS,GSTP1,26.604,23,4,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314.9,139.5,146,120,64.5,97.2,84.3,55.9,4904.8,58.5,78.3,49.8,122.6,79.1,73.7,50.6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
G3V6T1,Protein Copa OS,COPA,26.573,9,10,10,10,377.3,18.3,13.3,25.7,19.9,13.6,11.8,15.7,683.5,2.4,15.2,0.8,10.7,12.4,11.4,2.3,,,,,,,,,,,,,,,,,608.1,374,220.3,150.6,62,137.9,90.6,84.7,1770.4,47.9,60.7,66.3,153.6,82.3,78.7,80,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
Q5RKH6,Protein OS-9 OS,OS9,26.516,16,7,11,7,36.5,7.4,2.3,6.7,7.2,5.8,2.4,5.1,113,2,7.4,1.2,3.4,3.2,6.7,3,286.9,2.7,35,31.2,47.9,55.1,28.2,61.2,257.9,1.9,19.3,41.7,48.5,48.5,48.8,22.5,74.9,6.6,13.6,16.6,3.3,5,5.1,3.6,139.9,3.8,,4.2,30.5,7.7,3.4,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,100%,100%,86%,100%,100%,100%,100%,100%,71%,100%,100%,100%,100%,100%,75%
F1LZW6,Protein Slc25a13 (Fragment) OS,SLC25A13,26.475,12,6,10,6,257.6,20.9,13.8,19.6,13.4,17.2,6.6,22.5,581.3,8.4,11.8,1.1,9.5,7.9,6.5,,64.2,3.4,5.1,6.2,3.4,6.2,5,9.8,52.2,2.6,4.5,8.5,3.9,4,2.5,3.4,47,23.6,30.3,11.8,8.3,9.8,6.1,8,126.5,5.6,8.5,6.4,9.1,6.9,10.5,7.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%,100%
Q6P502,T-complex protein 1 subunit gamma OS,CCT3,26.442,17,9,13,9,245,36,19,24.3,18.8,19.7,9.3,54.5,818.3,18.1,24.8,6.7,19,19.8,26.3,7.4,1341.5,11.5,13.9,25,21.7,30.6,,58.5,1057,14.3,17.2,32.6,26.4,24.6,4.8,14.8,1819.8,165,95.1,116.9,67.1,98,93.6,61.5,4013,41.8,,58.7,98.5,57.5,65.1,55,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,100%,93%,93%,100%,100%,86%,100%,100%,86%,100%,100%,88%,100%,100%,88%
Q5U367,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS",PLOD3,26.328,13,8,14,8,279.6,21.2,30.7,22.7,32,24.9,20.6,18.2,786.4,12.7,36.3,9.2,23.2,17,25,10.2,197.4,5.3,6.3,17,13.3,19.2,,19.1,166,2.4,3.8,14.1,9.7,15.2,5.7,9,455.4,40.1,54.6,105.7,40.2,72.4,51.6,40.8,1326.8,24.6,25.2,39.6,57.9,34.2,58.2,37.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%
Q99068,Alpha-2-macroglobulin receptor-associated protein OS,LRPAP1,26.299,26,9,13,9,486.5,19.1,43.3,45.9,38.3,27.8,26.8,16.1,1165.1,5,51.4,8.1,22.3,29,28.3,0.6,464,31.5,83.6,85.5,107,98.9,46.3,115.4,382.8,31.1,50.3,120.9,94.5,89.4,72.7,53.8,1608.6,92.9,180.1,116.3,70.4,108.1,88.2,63.2,1969.4,40.9,78.9,51.5,99.2,56.6,62.5,44.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P45592,Cofilin-1 OS,CFL1,25.843,41,6,17,4,587.8,50,49.7,53,38.5,40.3,17.8,28.1,1328.8,18.4,22.3,14.8,21.9,26.4,32.1,8.4,245.4,22.3,8.1,11.7,11.2,10.9,20.1,74.9,173.7,3.8,7.2,19.1,15.5,7.1,9.8,9.6,2568.8,2024.9,332.9,499.3,256.1,390.2,215.8,205,3863.1,115.8,181.4,234.6,274.7,179.4,262,187,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P26772,"10 kDa heat shock protein, mitochondrial OS",HSPE1,25.278,75,9,13,9,372.7,10.8,18.2,8.9,14.4,15.2,5,11.8,871.7,10,12.8,,5.6,8.5,9.6,,,,,,,,,,,,,,,,,,6920.2,1895.4,194.4,302.7,185.8,286,248,144.6,4606.3,173.6,149.1,139.7,311,153.4,203.8,159.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,86%,,100%,100%,71%,,,100%,100%,100%,75%,,,100%,100%
Q63610,Tropomyosin alpha-3 chain OS,TPM3,25.172,28,8,13,3,,,,,,,,,,,,,,,,,140.9,8.6,5,11.5,12.6,9.2,3,63.5,137.9,2.7,7.4,15.3,11.2,12.5,9.1,18.4,1992.7,4038.1,1199.6,437.6,282.8,535.3,368.1,140.3,2837.4,191.4,358.5,197.2,1198.4,181.2,251,218.7,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P17077,60S ribosomal protein L9 OS,RPL9,25.086,43,6,9,5,50.8,5.3,2.4,3.6,4.9,,2.2,3.1,117.7,,4.4,4,,4,,,818.9,29.7,13.6,21.3,36.4,38.8,16.3,191.9,674.3,12.2,18.6,41.6,29.9,28,14.7,22.6,898,270,29.3,48,29.8,45.4,35.9,27.5,2384.3,28.5,4.7,31.5,49.5,33,34,19.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,71%,100%,100%,86%,57%,100%,100%,100%,100%,88%,50%,100%,100%,100%,100%
