Accession,Description,Gene Symbol,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,"Abundance: F3: 130N, Sample, A, (-)BiotinPD","Abundance: F3: 129C, Sample, A, (-)Hpg","Abundance: F3: 126, Sample, A, 0_0Hr","Abundance: F3: 127N, Sample, A, 0_5Hr","Abundance: F3: 127C, Sample, A, 1_0Hr","Abundance: F3: 128N, Sample, A, 1_5Hr","Abundance: F3: 128C, Sample, A, 2_0Hr","Abundance: F3: 129N, Sample, A, 3_0Hr","Abundance: F3: 134N, Sample, B, (-)BiotinPD","Abundance: F3: 133C, Sample, B, (-)Hpg","Abundance: F3: 130C, Sample, B, 0_0Hr","Abundance: F3: 131N, Sample, B, 0_5Hr","Abundance: F3: 131C, Sample, B, 1_0Hr","Abundance: F3: 132N, Sample, B, 1_5Hr","Abundance: F3: 132C, Sample, B, 2_0Hr","Abundance: F3: 133N, Sample, B, 3_0Hr","Abundance: F4: 133C, Sample, C, (-)BiotinPD","Abundance: F4: 126, Sample, C, (-)Hpg","Abundance: F4: 127C, Sample, C, 0_0Hr","Abundance: F4: 128C, Sample, C, 0_5Hr","Abundance: F4: 129C, Sample, C, 1_0Hr","Abundance: F4: 130C, Sample, C, 1_5Hr","Abundance: F4: 131C, Sample, C, 2_0Hr","Abundance: F4: 132C, Sample, C, 3_0Hr","Abundance: F4: 134N, Sample, D, (-)BiotinPD","Abundance: F4: 127N, Sample, D, (-)Hpg","Abundance: F4: 128N, Sample, D, 0_0Hr","Abundance: F4: 129N, Sample, D, 0_5Hr","Abundance: F4: 130N, Sample, D, 1_0Hr","Abundance: F4: 131N, Sample, D, 1_5Hr","Abundance: F4: 132N, Sample, D, 2_0Hr","Abundance: F4: 133N, Sample, D, 3_0Hr","Abundance: F9: 126, Sample, E, (-)BiotinPD","Abundance: F9: 130N, Sample, E, (-)Hpg","Abundance: F9: 129C, Sample, E, 0_0Hr","Abundance: F9: 129N, Sample, E, 0_5Hr","Abundance: F9: 128C, Sample, E, 1_0Hr","Abundance: F9: 128N, Sample, E, 1_5Hr","Abundance: F9: 127C, Sample, E, 2_0Hr","Abundance: F9: 127N, Sample, E, 3_0Hr","Abundance: F9: 134N, Sample, F, (-)BiotinPD","Abundance: F9: 130C, Sample, F, (-)Hpg","Abundance: F9: 131N, Sample, F, 0_0Hr","Abundance: F9: 131C, Sample, F, 0_5Hr","Abundance: F9: 132N, Sample, F, 1_0Hr","Abundance: F9: 132C, Sample, F, 1_5Hr","Abundance: F9: 133N, Sample, F, 2_0Hr","Abundance: F9: 133C, Sample, F, 3_0Hr",Quantified,Run 1 - Quantified,Run 2 - Quantified,Run 3 - Quantified,Run 1 - Fully Quantified,Run 2 - Fully Quantified,Run 3 - Fully Quantified,Total - Fully Quantified,Run 1 - % Hpg Pulse Channels Quantified,Run 2 - % Hpg Pulse Channels Quantified,Run 3 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Hpg Pulse channels Quantified,Biological Replicate 2 - % Hpg Pulse Channels Quantified,Biological Replicate 3 - % Hpg Pulse Channels Quantified,Biological Replicate 4 - % Hpg Pulse Channels Quantified,Biological Replicate 5 - % Hpg Pulse channels Quantified,Biological Replicate 6 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Channels Quantified,Biological Replicate 2 - % Channels Quantified,Biological Replicate 3 - % Channels Quantified,Biological Replicate 4 - % Channels Quantified,Biological Replicate 5 - % Channels Quantified,Biological Replicate 6 - % Channels Quantified
P69897,Tubulin beta-5 chain OS,TUBB5,54.513,29,11,36,1,4407.4,118.3,149.7,184.7,160.4,117.3,140.8,306.7,4449.6,99.1,133.2,78.1,129.3,128.2,108.6,79.8,1059.1,34.4,46.2,55.5,41.7,27.5,89.9,48.4,1229.7,54.4,66.6,41.5,44.1,72.1,53.9,38.7,5191.3,139.7,206.1,199.1,206,144.5,75.9,145.6,3051.9,200.1,180.3,325.8,144.3,154.7,88.2,209.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P46462,Transitional endoplasmic reticulum ATPase OS,VCP,54.264,22,13,28,13,272.5,29.2,31.8,40.5,38.4,29.8,32.1,43.1,256.1,19.9,42.1,27.3,27.8,41.6,20.9,26,2471.2,31.7,84.4,86.3,112.6,70.3,103.6,71.6,3127.2,18.6,113.5,82.7,86.4,142.2,101.5,10.3,1649.8,73.4,97.8,94.2,118.8,95.2,97.2,87.1,931.4,116.9,101.2,156.4,85.6,110.4,74.3,129.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P61206,ADP-ribosylation factor 3 OS,ARF3,53.619,54,7,23,3,882.7,20.9,19.7,26.1,21.3,18.8,23,26.5,964.9,12,21.1,14.5,19.1,16.2,14.8,8.3,1518.3,60.5,80.9,81.8,67.4,67.5,80.5,51.9,2232.8,45.5,90.4,80.3,79.2,115.8,76.7,34.8,1094.6,40.4,38.9,33.4,49.3,45,33.2,37.2,647.8,43.7,46.9,46.9,41.9,47.4,44.5,58.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P49134,Integrin beta-1 OS,ITGB1,52.973,15,11,41,11,3415.1,27.2,57.2,95.3,77.3,68.7,84.6,68.5,3418.4,25.6,25.3,30.3,54,76.4,59.6,10.4,252.9,10.9,22.2,25.7,29.2,16.2,31.8,27.3,1476.4,17.9,30.7,24.7,23.7,42.2,32.7,16.3,2329.6,80.8,131.9,101.5,113.8,94.6,63.9,101.9,1875.3,99.1,147.7,375.9,82.6,95.3,72.7,167.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
B2GUV7,Eukaryotic translation initiation factor 5B OS,EIF5B,52.576,11,10,17,10,949.3,21.6,37.7,51.5,49,40.9,36.8,38.2,651.4,21.8,33.8,9.7,28.7,32.3,31.5,14.6,403.6,19.2,23.5,27.7,21.8,26.3,34.6,32.6,1165.1,5.6,40.9,23.7,39.3,57.4,37.8,15,734.5,26.7,38.8,31.5,38.5,31.6,26.9,24.5,400.1,27.8,33.7,35.9,35.6,28.9,25.9,47.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q3ZAV2,Uncharacterized protein OS,YBX1,52.408,33,7,23,7,1027.7,35.4,27,36.2,52.1,28.6,39.8,29.2,2176.2,20.3,57.9,28.4,31.9,30.5,18.4,10.6,243.7,6.7,6.8,,9.8,6.6,10.4,15.5,906.6,2.6,13.2,9.1,11.2,12.4,11.3,8.2,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,100%,93%,,100%,100%,86%,100%,,,100%,100%,88%,100%,,
Q9JLA3,UDP-glucose:glycoprotein glucosyltransferase 1 OS,UGGT1,50.675,13,15,28,15,65.6,10.7,14.7,22.8,19.3,18.4,19.4,20.9,52.6,10,16.4,14.4,10,20.2,14.7,11.8,281.7,17.1,88.2,76.8,95.9,62.5,81.2,69.6,1294,10.9,100.3,73.5,110.2,151.2,103.5,67,2994.2,138.4,211.9,275.5,279.5,217.2,227.7,223,1252.3,146,194.1,204,164.3,188.1,158.2,213.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P38650,Cytoplasmic dynein 1 heavy chain 1 OS,DYNC1H1,49.634,4,13,18,13,238.6,8.5,6.4,15.8,8.8,9.4,6.3,17.6,235.8,8.3,11.2,3,8.6,10.1,9,5.9,,,,,,,,,,,,,,,,,1656.4,64,81.4,70.4,72.4,54.9,7.9,72.3,1056.5,71.1,81.1,149.8,59.3,79.1,45.8,96.7,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
P63269,"Actin, gamma-enteric smooth muscle OS",ACTG2,48.742,23,7,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
P28480,T-complex protein 1 subunit alpha OS,TCP1,48.244,24,10,24,10,1909.7,69.7,74.9,143,90.8,61.1,85.4,107.1,2198.7,49.7,93.7,37,71.6,97,63.1,13.7,250.9,4.1,8.7,10.8,5.8,4,4.5,0.9,314.6,4.2,7.6,4.1,4.7,4.6,9.9,0.5,1557.5,23.1,33.9,43.9,47.5,34.9,3.7,25.6,665.8,26.6,34.6,42.4,29.6,34.3,37.1,55.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P52555,Endoplasmic reticulum resident protein 29 OS,ERP29,48.024,38,8,22,8,2795.5,67.6,196.5,231.8,254,199,173.1,127.6,2051,50.6,151.3,111,129.5,128.6,139.3,105,824.4,40.2,265.6,197.8,282.8,200.7,234.7,216.3,3186.2,33.6,277.9,206.6,240.5,309.4,235.9,140.4,2436.5,22.4,113,119.8,127.1,105.7,26.4,68.4,828.3,21.3,62.2,51.1,41,59.7,46,59.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q68FQ0,T-complex protein 1 subunit epsilon OS,CCT5,46.16,22,9,25,9,942.8,77.1,67.6,76.9,81,68.5,85.9,68.7,1022,43,71.7,50.7,75.5,81,47.1,43.6,390.4,,7.7,15.6,9.3,21.6,21,9.1,607.2,,6.7,9.7,13,22.3,12.5,,4006.4,87.5,92,89.1,79.1,72,4.5,57.6,2836.9,81.2,107.5,367.2,66,77.5,22.2,102.8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,100%,86%,100%,100%,100%,100%,88%,75%,100%,100%
Q6NYB7,Ras-related protein Rab-1A OS,RAB1A,45.426,47,9,34,2,97,,3.7,4.9,7.7,4.1,2.2,5.4,99,,4.1,,,2.4,,1.7,353.6,4.2,16.6,10.7,15.4,10.8,12,10.5,711.7,3.8,19.4,16.7,22.3,21.2,19.9,1.8,620.6,10.5,25.6,31.7,31.2,29.6,59.8,26.3,501.5,24.1,27.5,33.5,21.9,26.3,6.7,27,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,79%,100%,100%,100%,57%,100%,100%,100%,100%,88%,50%,100%,100%,100%,100%
F1LM84,Nidogen-1 OS,NID1,45.3,7,7,28,7,1705.8,27.4,36.2,43.5,40.2,31.2,81.4,29.3,1882.9,49.2,126.7,32.1,21.6,37.7,29.5,28,969.3,23.3,21.7,26.2,26.4,38,33,24.3,1237.2,19.7,35.1,39.1,31.9,37.5,32.7,19.6,2313,82.6,92.6,68.9,74.8,70.3,129,74.5,1410.8,78.1,68.1,75.6,56.5,85.1,34.8,89.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F1M0B2,Protein LOC683295 (Fragment) OS,LOC683295,44.982,13,8,428,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
D4AC23,Protein Cct7 OS,CCT7,44.841,29,11,20,11,378.8,6.6,9.8,11.2,11.3,7.6,8.9,7.9,397.6,6,13.5,,6.8,9.2,3.9,,305.7,20.6,35.2,32.1,12.6,10.4,12.9,14.9,406.6,21.5,21.6,14.8,16.8,22.6,22.1,17.1,1051.4,38,39.4,38.4,43.4,31.6,25.7,35.8,578.5,42.4,37.7,42.5,43.2,40.7,23.3,54.3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,86%,100%,100%,100%,71%,100%,100%,100%,100%,100%,75%,100%,100%,100%,100%
P14659,Heat shock-related 70 kDa protein 2 OS,HSPA2,44.476,18,11,50,1,229.9,,8,14.7,14.6,12.7,12.8,6.1,186.6,,,16.9,5.9,7.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,86%,,,100%,71%,,,,,88%,63%,,,,
Q6P9T8,Tubulin beta-4B chain OS,TUBB4B,43.636,25,10,29,1,,,,,,,,,,,,,,,,,73.9,2.9,,3.5,,2.3,4.2,4,110.6,,3,3.1,,2.6,2.8,3.2,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,79%,,,,71%,86%,,,,,75%,75%,,
P10719,"ATP synthase subunit beta, mitochondrial OS",ATP5B,43.559,22,8,22,8,416.2,3.1,12.6,29.6,13.2,8,12.6,15.6,367.4,5.4,,,15.7,12.4,10.1,2.4,17.4,,3,2.8,4.7,2.7,4,5.2,135.1,,4.5,2.6,4.6,6.1,6.6,2.9,917.6,43.5,76.6,66.4,79.1,58.7,76.5,61.4,744.3,57.4,57.8,63.3,56.8,62.4,37.5,74.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,86%,100%,100%,100%,71%,100%,100%,100%,100%,100%,75%,88%,88%,100%,100%
D3ZV63,Protein RGD1307830 OS,RGD1307830,43.193,27,10,23,10,2666.6,56.4,96.9,159.2,108.9,89.7,90.6,139.1,2452.5,41.2,70.2,19.7,79.8,111.4,90.6,46.3,363.6,40.3,48.8,60.5,64.3,38.2,53.9,56.8,1942,29.4,62.2,70.1,79.1,109.3,94.3,43.5,931.3,36.8,57.6,47.3,55.7,39.1,53.3,56.9,624.8,38.6,42.9,72.6,35.8,59,51.7,54.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
G3V6H0,Protein LOC100363782 OS,LOC100363782,42.472,51,10,35,3,4441.4,81.5,129.2,236,147.5,112.8,125.5,228.4,4823.2,71.2,117.1,22.1,120,123.8,109.3,62.4,1452.2,33.4,72.8,79.9,73.6,54.1,65.7,65.2,3705.7,24.3,108.2,78.7,86.7,144.8,95.1,47.2,3015.7,83.2,171,130.9,160.9,122.2,135.7,115.1,2124.1,110.1,119.4,146.5,99,117.7,93.7,166.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q498R3,DnaJ homolog subfamily C member 10 OS,DNAJC10,42.424,18,12,15,12,91.4,2.9,7,8.5,7.7,5.9,7,5.9,78.8,3,5,2.2,4.5,7.5,3.3,1.2,220.8,35.6,75.8,68.9,69.8,45,58.3,69.9,794.6,39.9,87.7,71.2,83.9,101.9,92.2,86.4,4741.7,123.8,235.2,285.7,290.5,221.5,138.8,177.1,2122.1,102.4,160.9,159.8,137.7,160.9,101,154.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
D4ACB8,"Chaperonin subunit 8 (Theta) (Predicted), isoform CRA_a OS",CCT8,42.082,23,11,22,11,1361.5,81.9,69.7,111.5,81.1,65.4,63.6,95.7,1452.1,59,44.8,31.6,60.3,80.1,66.8,46.5,1506.8,30.3,53.1,48.3,39.1,29.1,49.9,32.7,1940.3,25.1,46.5,43.6,36,71.3,62.9,28.1,776.1,31.1,34.7,32.5,33.8,31.4,19.8,28.9,414.6,37.6,32.1,40,25.3,26.2,24,39.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P50399,Rab GDP dissociation inhibitor beta OS,GDI2,41.05,18,6,23,4,399.4,9.3,11,21.8,15.6,15.6,18.4,21.1,436.6,9,8.2,6.3,11.1,20.6,14,10.1,292.8,3.8,13.2,10.1,14.1,5.4,8.5,4.8,399.9,2.9,13.4,16.9,8.5,13.4,10.9,7.4,1741.1,31.1,53.8,51.6,48.1,33.5,20.1,60.8,1033.1,69.5,51.9,107.2,47.5,46.5,37.4,77.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q3MHS9,"Chaperonin containing Tcp1, subunit 6A (Zeta 1) OS",CCT6A,41.02,23,10,29,10,994.7,18.6,19.1,33.7,28.6,21.3,23.3,18.5,1117.7,14.5,28,7,20.2,23.5,24.2,3.6,853.1,22.7,19.1,29.9,22.2,28.2,29.7,21.4,1134.4,19.2,30.8,24.6,30.5,36.8,32.4,9.2,1620.9,174.7,167.4,130.2,159.4,140.9,160,155.4,959.4,150,163.9,282.4,157.7,150.6,145.6,193.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q64428,"Trifunctional enzyme subunit alpha, mitochondrial OS",HADHA,40.823,15,9,28,9,162,8.5,15.2,18.3,20.1,16.7,15.1,13.4,179.8,6.1,16,12.7,11.9,17.7,12.6,2.2,116.7,5,28.5,25.7,26.9,17.5,27.2,22.6,1012.8,9.6,52.2,46.1,33.3,60.8,46,21.8,511.3,71.3,87.9,81,116.9,87.9,110.5,86.8,441.8,82,81.4,104.3,83.9,86.9,63.4,110.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q6P502,T-complex protein 1 subunit gamma OS,CCT3,40.771,22,11,21,11,672.8,14.2,13.1,18.3,20.5,15.3,19.9,21.4,722,13.8,33.9,4.8,14.7,18.5,11.4,9.2,677.6,2.6,8.5,4.4,7,2.2,6.6,2.3,758.1,,9.1,11.2,7.1,14.4,8.5,0.8,5033.7,107.8,137,132.7,173.9,108.3,34.1,115.6,2688.1,146.1,136.7,158.2,105.9,123.7,106.2,165.1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%
P04636,"Malate dehydrogenase, mitochondrial OS",MDH2,40.593,31,8,15,8,663.3,30.5,46.3,85.4,54.6,58.8,53.6,51.4,650.5,27.8,46,54.8,54.2,53.9,43.4,27.8,109.9,12.7,25,21.8,21.3,14.9,23.2,17.6,462.2,15.1,23.8,18.6,24.2,28.5,26.4,13.1,1625,45.7,85.7,97,96.5,67.2,82.9,68,1462.3,51.4,71.9,69.1,57,69.4,37.4,88.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
E9PTN6,Glyceraldehyde-3-phosphate dehydrogenase OS,RGD1564688,39.245,32,9,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.1,38.4,38.5,33.4,51.6,49.1,62.1,49.1,149.4,49.6,40.9,38.5,43.3,40.5,32.8,52.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q920A6,Retinoid-inducible serine carboxypeptidase OS,SCPEP1,37.961,19,7,36,7,1483.2,86.5,82.1,104.7,108.6,89,96.8,81,1770.2,50.3,112.4,72.1,67.1,98.1,48.7,30.8,3160.8,21,30.4,29.1,19.3,23.5,14.7,9.9,3703.7,14.4,40.9,24.9,24.2,37.1,28.9,3.3,667.9,27.6,38.9,32.9,47,33.5,17.2,35.3,640.3,40.5,39.5,58.8,35.7,44.7,31.1,37.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q5RKJ9,"RAB10, member RAS oncogene family OS",RAB10,37.869,50,10,21,8,1640.8,29.1,44.1,92.6,47.8,34.7,42.2,119,1616.1,18.8,23.1,6.7,36.8,41.9,33,7.7,816,20.3,62,61.9,60.1,37.8,50.6,46.9,1886.1,28.6,70.2,66.1,73.4,85.4,68,57.6,1314.5,35.9,51.7,49,61,44.2,45.9,48.1,926.5,43.7,51.8,86.6,44.1,56.7,30.1,51.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
G3V6Y6,Phosphorylase OS,PYGB,37.203,11,7,16,5,664.1,35.1,29.9,48.4,39,28.8,28.5,44.7,663.7,26,32.8,3.9,26,40.5,31.5,19.7,117.8,3.6,,,2.5,2.4,4,1,139.6,,,,5.2,3.5,,0.5,749.9,27,28.8,17.4,21,16.1,5.6,22.4,436.5,24.4,36.2,124.3,17.4,17.9,16.1,65.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,64%,100%,100%,100%,71%,57%,100%,100%,100%,100%,75%,50%,100%,100%
P63245,Guanine nucleotide-binding protein subunit beta-2-like 1 OS,GNB2L1,37.144,25,8,30,8,3757.6,24.2,45.5,143.9,59.5,40.3,48.5,229,4379.4,25.4,23.2,11,44.8,36.7,42.9,13.1,1835.7,43.2,59.5,56.4,40.4,44.8,58.3,81.8,2372.6,32.4,54.1,40.6,53.6,72.8,53.5,171.3,4279.6,148.4,132.4,113.2,126,88.1,213.2,109.6,2369,124,102.6,179.2,111.1,89.2,45,148.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q7TPB1,T-complex protein 1 subunit delta OS,CCT4,36.744,24,9,18,9,161,19.7,17.1,15.1,21.1,15.9,20.8,24.7,162.7,15.7,18.3,7.9,15.2,23.7,13.3,16.7,1984.7,32.8,41.1,45.6,36.4,35.1,50.7,16.7,2333.4,25.1,52.7,48.1,40.4,55,45.4,20.2,622.4,51.4,60.6,70.7,66.4,58.2,53.8,55.9,361.3,70.5,64.8,77.4,59.9,60,45.1,89.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q4QRB4,Tubulin beta-3 chain OS,TUBB3,36.371,21,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.6,98.6,72.7,110.3,77.6,69.9,,67.3,708.9,107.8,68.5,101.6,29.6,49.3,68.2,83.6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,93%,,,,,86%,100%,,,,,88%,100%
P48721,"Stress-70 protein, mitochondrial OS",HSPA9,36.168,12,6,14,5,344.5,12.9,19.5,20.8,29.1,26.3,31.2,22.1,348,8.4,12.3,14.7,16.9,15.4,18.1,11.4,245.6,17,29.8,21.1,19.4,18.7,24,45.5,643.9,10.8,38.5,31,26.4,35.9,29.1,44.9,572.8,34.6,99,71,72.2,51.2,110.7,54.1,514.4,73.8,61.1,88.3,45.8,48.8,52.4,154.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P84083,ADP-ribosylation factor 5 OS,ARF5,35.755,39,5,17,1,114.2,,,3.2,,,,3.7,122.9,2,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36%,,,43%,29%,,,,,38%,38%,,,,
M0R757,Elongation factor 1-alpha OS,LOC100360413,35.176,20,10,61,10,6557,121.7,188.4,504.6,171.3,155.1,184.7,755.1,7069.7,100.6,115.8,18.6,192.4,172.3,147.5,32.4,2016.8,49.2,75.5,59.3,53.9,43.2,63.7,34,2709.2,65.8,70.9,61.8,66.6,88.6,76.2,26.8,6347.8,248.9,348.2,315.8,351.6,267.7,294.1,250.5,4177.4,306.7,306.9,525.6,225.1,286.9,176.8,430.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P62909,40S ribosomal protein S3 OS,RPS3,35.06,43,11,31,11,2562.1,46.1,55.1,115.6,76.4,43.9,65.3,245.1,2840.7,29.7,77.3,0.1,55.4,58.3,56.5,8.5,3153.4,19.1,46,49.1,51.7,34.3,49.9,23.8,3656.2,24,77.2,27.4,52,87.3,45.4,14.4,4821.2,251.2,257.4,212.5,238.6,195.3,145.7,215.4,2744.1,233.1,207.8,270.2,223.2,203.6,177,282.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P17077,60S ribosomal protein L9 OS,RPL9,34.412,39,5,8,3,203,,3.7,4.7,2.7,3.1,4,6.3,221.3,1,,,,,2.5,1.2,1653.2,50.9,77.9,70,70.6,55.4,68.8,61.9,2305,38.3,96.6,80.4,67.6,86.6,68.6,48,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,71%,100%,,100%,43%,100%,100%,,,88%,50%,100%,100%,,
P07153,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS,RPN1,34.27,17,9,14,9,856.7,7.3,21.6,64,40.9,27.8,31.1,47.5,626,3.9,24.6,0.6,17.8,20.2,17.3,7.8,344.3,32.1,102.7,82.5,94,68.4,91.6,91,1943.5,92.1,105.3,81.6,78,140.8,100.3,41.3,1329.7,42.1,77.1,103.5,99.1,63.3,20.9,64.3,1140.1,49.9,80.9,86.2,53.8,66.6,46.6,88.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q09073,ADP/ATP translocase 2 OS,SLC25A5,34.15,27,8,27,8,3439.6,86.2,135.8,390.6,178.2,128.1,167.7,257.5,2981.1,68.7,140.7,50.2,152.1,137.2,106.2,54.9,252.3,15.2,87.2,59.2,72.7,26.4,67.9,65.5,2256.2,26.2,130.5,71.2,86.3,160.3,88.5,109.9,4105.1,153.5,227.4,236.8,294,191,93.4,221.8,2956.7,154.2,221.4,264.1,161.4,170.3,121,205.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
